   List of levels:

     Level   Energy             Jpi    K
------------------------------------------
 105pd_413   4206.1782(0)     27/2+   0.0
 105pd_415   5031.6782(0)     31/2+   0.0
 105pd_417   6086.6782(0)     35/2+   0.0
 105pd_419   7195.5781(0)     39/2+   0.0
 105pd_421   8488.1777(0)     43/2+   0.0
 105pd_423   9899.2773(0)     47/2+   0.0
 105pd_425   11295.0566(0)    51/2+   0.0
105Pd_1511   3294.4692(0)     23/2+   0.0
105Pd_1513   3872.6692(0)     27/2+   0.0
105Pd_1513   3872.6753(0)     27/2+   0.0
105Pd_1515   4667.9434(0)     31/2+   0.0
105Pd_1517   5681.9463(0)     35/2+   0.0
105Pd_1519   6858.0918(0)     39/2+   0.0
105Pd_1521   8124.0557(0)     43/2+   0.0
105Pd_1523   9432.5791(0)     47/2+   0.0
105Pd_1525   10862.3789(0)    51/2+   0.0
105Pd_1527   12392.6787(0)    55/2+   0.0
105Pd_1529   14004.710(0)     59/2+   0.0
105Pd_1612   3865.4785(0)     25/2+   0.0
105Pd_1614   4615.1787(0)     29/2+   0.0
105Pd_1616   5603.5786(0)     33/2+   0.0
105Pd_1618   6901.1787(0)     37/2+   0.0
 105Pd_102   0.0(0)            5/2+   0.0
 105Pd_104   781.40(0)         9/2+   0.0
 105Pd_106   1671.50(0)       13/2+   0.0
 105Pd_108   2552.6226(0)     17/2+   0.0
 105Pd_203   306.30(0)         7/2+   0.0
 105Pd_205   1011.950(0)      11/2+   0.0
 105Pd_207   1901.950(0)      15/2+   0.0
 105Pd_209   2755.5986(0)     19/2+   0.0
 105Pd_305   489.10(0)        11/2-   0.0
 105Pd_307   970.10(0)        15/2-   0.0
 105Pd_309   1741.9829(0)     19/2-   0.0
 105Pd_311   2700.3657(0)     23/2-   0.0
 105Pd_313   3800.5139(0)     27/2-   0.0
 105Pd_315   4952.8828(0)     31/2-   0.0
 105Pd_317   6072.0068(0)     35/2-   0.0
 105Pd_319   7191.1406(0)     39/2-   0.0
 105Pd_321   8405.7842(0)     43/2-   0.0
 105Pd_323   9723.5156(0)     47/2-   0.0
 105Pd_325   11103.7158(0)    51/2-   0.0
 105Pd_327   12563.4160(0)    55/2-   0.0
 105Pd_329   14103.4160(0)    59/2-   0.0
 105Pd_331   15719.5156(0)    63/2-   0.0
 105Pd_602   319.20(0)         5/2+   0.0
 105Pd_604   901.50(0)         9/2+   0.0
 105Pd_606   1749.50(0)       13/2+   0.0
 105Pd_608   2565.6304(0)     17/2+   0.0
 105Pd-803   442.4190(0)       7/2+   0.0
 105Pd-805   1271.6190(0)     11/2+   0.0
